Timestamp,IMU1_Val1,IMU1_Val2,IMU1_Val3,IMU1_Val4,IMU1_Val5,IMU1_Val6,IMU1_Val7,IMU2_Val1,IMU2_Val2,IMU2_Val3,IMU2_Val4,IMU2_Val5,IMU2_Val6,IMU2_Val7,IMU3_Val1,IMU3_Val2,IMU3_Val3,IMU3_Val4,IMU3_Val5,IMU3_Val6,IMU3_Val7,IMU4_Val1,IMU4_Val2,IMU4_Val3,IMU4_Val4,IMU4_Val5,IMU4_Val6,IMU4_Val7,IMU5_Val1,IMU5_Val2,IMU5_Val3,IMU5_Val4,IMU5_Val5,IMU5_Val6,IMU5_Val7,IMU6_Val1,IMU6_Val2,IMU6_Val3,IMU6_Val4,IMU6_Val5,IMU6_Val6,IMU6_Val7
1745408183.718035,1.732950,-3.990358,180.357071,0.000000,6130.964355,133.595184,638515.125000,1.275287,-4.825725,179.058716,0.000000,4480.127441,118.236534,629503.500000,-16.226717,-106.062172,319.021118,0.000000,-101565.453125,-33769.125000,2217513.750000,-5.126547,-72.159172,239.325012,0.000000,-24071.789062,-7260.376953,1225915.250000,17.899342,-84.655403,249.706863,0.000000,87692.296875,29727.406250,1363974.250000,-5.820924,-80.086235,79.716301,0.000000,-9103.884766,-9148.792969,250508.453125
1745408183.760784,1.913178,-4.072721,180.307343,0.000000,6766.923340,150.749176,638176.250000,1.191875,-4.944432,179.043091,0.000000,4186.815430,113.146133,629416.375000,-16.252260,-106.202278,319.259247,0.000000,-101801.273438,-33866.929688,2221079.250000,-4.949388,-72.015602,239.314758,0.000000,-23239.060547,-6995.635742,1225413.000000,17.852329,-84.633652,249.666061,0.000000,87448.000000,29641.664062,1363502.125000,-5.867786,-80.188766,79.924355,0.000000,-9201.115234,-9234.228516,251482.500000
1745408183.760996,2.070175,-4.172471,180.247955,0.000000,7319.943359,167.262070,637772.250000,0.993933,-5.121569,179.044662,0.000000,3491.586426,97.467491,629462.250000,-16.304047,-106.321877,319.513000,0.000000,-102206.789062,-34013.082031,2224758.250000,-4.808841,-71.812309,239.285095,0.000000,-22576.320312,-6777.783203,1224560.875000,17.728771,-84.684105,249.627258,0.000000,86829.296875,29454.007812,1363289.375000,-5.874701,-80.293358,80.125465,0.000000,-9235.165039,-9257.129883,252443.296875
1745408183.762638,2.221036,-4.290793,180.176498,0.000000,7850.382812,184.796921,637286.562500,0.683434,-5.322320,179.058365,0.000000,2401.011963,68.988815,629599.687500,-16.382210,-106.447563,319.829193,0.000000,-102798.390625,-34216.531250,2229249.250000,-4.650082,-71.630753,239.276352,0.000000,-21830.287109,-6537.532715,1223967.875000,17.639168,-84.831757,249.558914,0.000000,86366.820312,29356.261719,1363111.000000,-5.833736,-80.353615,80.308182,0.000000,-9191.729492,-9199.452148,253208.343750
1745408183.806147,2.301670,-4.392037,180.106903,0.000000,8132.308594,196.087753,636811.875000,0.349359,-5.533145,179.041260,0.000000,1227.157715,35.567627,629524.500000,-16.466387,-106.612335,320.189270,0.000000,-103442.945312,-34445.570312,2234459.500000,-4.510895,-71.446770,239.296204,0.000000,-21178.669922,-6325.584473,1223637.875000,17.584936,-84.988884,249.447998,0.000000,86063.023438,29320.212891,1362548.500000,-5.750740,-80.377281,80.445580,0.000000,-9076.481445,-9071.284180,253716.343750
1745408183.806364,2.371508,-4.524874,180.039154,0.000000,8375.992188,208.292557,636356.375000,0.108865,-5.743400,179.081268,0.000000,382.341736,9.944493,629852.250000,-16.545143,-106.834435,320.638977,0.000000,-104083.679688,-34682.410156,2241044.000000,-4.394808,-71.289032,239.314056,0.000000,-20635.283203,-6149.286133,1223364.000000,17.526367,-85.116852,249.336060,0.000000,85737.984375,29266.554688,1361880.250000,-5.630278,-80.377289,80.541893,0.000000,-8897.001953,-8881.333984,254020.609375
1745408183.851050,2.399505,-4.671838,179.987915,0.000000,8472.470703,217.674179,636021.000000,0.025541,-5.969798,179.117889,0.000000,89.582153,0.676926,630161.687500,-16.591825,-107.117386,321.145660,0.000000,-104542.367188,-34872.363281,2248611.500000,-4.316005,-71.146362,239.331177,0.000000,-20266.714844,-6026.951660,1223126.250000,17.470764,-85.208664,249.264526,0.000000,85441.515625,29205.115234,1361487.125000,-5.493605,-80.361160,80.609428,0.000000,-8688.299805,-8664.041992,254183.296875
1745408183.851160,2.381999,-4.863432,179.955231,0.000000,8409.122070,225.033234,635826.000000,-0.031004,-6.147228,179.078247,0.000000,-109.104523,-6.086326,629925.312500,-16.669020,-107.472374,321.726776,0.000000,-105218.773438,-35150.750000,2257435.750000,-4.264169,-71.044968,239.382874,0.000000,-20027.603516,-5946.070801,1223328.875000,17.435658,-85.274406,249.220840,0.000000,85254.867188,29168.958984,1361279.500000,-5.353023,-80.331467,80.655251,0.000000,-8470.765625,-8439.270508,254234.656250
1745408183.855748,2.326716,-5.093007,179.926147,0.000000,8212.631836,230.330414,635665.500000,0.026331,-6.294508,179.099731,0.000000,92.345337,0.889288,630112.312500,-16.732622,-107.896736,322.355774,0.000000,-105826.835938,-35424.226562,2267177.500000,-4.230794,-70.984573,239.458267,0.000000,-19877.148438,-5894.537109,1223869.000000,17.404533,-85.303734,249.213470,0.000000,85100.195312,29126.873047,1361305.625000,-5.231349,-80.225883,80.685364,0.000000,-8281.274414,-8236.673828,253997.421875
1745408183.896789,2.246309,-5.331575,179.914124,0.000000,7928.215820,232.819641,635629.375000,0.099621,-6.432603,178.984940,0.000000,349.607697,10.184037,629340.312500,-16.798288,-108.376709,323.001801,0.000000,-106455.117188,-35721.460938,2277393.750000,-4.216284,-70.966591,239.511002,0.000000,-19813.400391,-5872.849121,1224314.375000,17.378902,-85.274178,249.262268,0.000000,84991.515625,29073.917969,1361684.000000,-5.228626,-80.094788,80.713333,0.000000,-8279.802734,-8218.985352,253673.640625
1745408183.896884,2.156898,-5.565589,179.920761,0.000000,7612.841309,233.391373,635726.312500,0.263420,-6.564091,178.840378,0.000000,924.097961,31.573507,628359.000000,-16.860561,-108.923340,323.611328,0.000000,-107051.492188,-36034.707031,2287457.000000,-4.221340,-70.984398,239.534164,0.000000,-19839.056641,-5881.413574,1224581.625000,17.357771,-85.192703,249.378326,0.000000,84927.679688,29010.791016,1362547.000000,-5.150268,-80.129517,80.758278,0.000000,-8160.263672,-8099.397949,253925.187500
